state_ut,variable,value,level,category
India,total_schools_all_management,1489115,total,schools
Andaman and Nicobar Islands,total_schools_all_management,416,total,schools
Andhra Pradesh,total_schools_all_management,61948,total,schools
Arunachal Pradesh,total_schools_all_management,3603,total,schools
Assam,total_schools_all_management,60859,total,schools
Bihar,total_schools_all_management,93165,total,schools
Chandigarh,total_schools_all_management,233,total,schools
Chhattisgarh,total_schools_all_management,56512,total,schools
Dadra and Nagar Haveli and Daman and Diu,total_schools_all_management,460,total,schools
Delhi,total_schools_all_management,5619,total,schools
Goa,total_schools_all_management,1510,total,schools
Gujarat,total_schools_all_management,53851,total,schools
Haryana,total_schools_all_management,23726,total,schools
Himachal Pradesh,total_schools_all_management,18028,total,schools
Jammu and Kashmir,total_schools_all_management,28805,total,schools
Jharkhand,total_schools_all_management,44855,total,schools
Karnataka,total_schools_all_management,76450,total,schools
Kerala,total_schools_all_management,16240,total,schools
Ladakh,total_schools_all_management,978,total,schools
Lakshadweep,total_schools_all_management,38,total,schools
Madhya Pradesh,total_schools_all_management,125582,total,schools
Maharashtra,total_schools_all_management,109605,total,schools
Manipur,total_schools_all_management,4617,total,schools
Meghalaya,total_schools_all_management,14600,total,schools
Mizoram,total_schools_all_management,3911,total,schools
Nagaland,total_schools_all_management,2718,total,schools
Odisha,total_schools_all_management,62291,total,schools
Puducherry,total_schools_all_management,736,total,schools
Punjab,total_schools_all_management,27701,total,schools
Rajasthan,total_schools_all_management,106373,total,schools
Sikkim,total_schools_all_management,1259,total,schools
Tamil Nadu,total_schools_all_management,58801,total,schools
Telangana,total_schools_all_management,43083,total,schools
Tripura,total_schools_all_management,4929,total,schools
Uttar Pradesh,total_schools_all_management,258054,total,schools
Uttarakhand,total_schools_all_management,22815,total,schools
West Bengal,total_schools_all_management,94744,total,schools
India,total_schools_govt_,1022386,total,schools
Andaman and Nicobar Islands,total_schools_govt_,342,total,schools
Andhra Pradesh,total_schools_govt_,45137,total,schools
Arunachal Pradesh,total_schools_govt_,2985,total,schools
Assam,total_schools_govt_,45490,total,schools
Bihar,total_schools_govt_,75558,total,schools
Chandigarh,total_schools_govt_,123,total,schools
Chhattisgarh,total_schools_govt_,48743,total,schools
Dadra and Nagar Haveli and Daman and Diu,total_schools_govt_,388,total,schools
Delhi,total_schools_govt_,2762,total,schools
Goa,total_schools_govt_,814,total,schools
Gujarat,total_schools_govt_,34699,total,schools
Haryana,total_schools_govt_,14562,total,schools
Himachal Pradesh,total_schools_govt_,15380,total,schools
Jammu and Kashmir,total_schools_govt_,23173,total,schools
Jharkhand,total_schools_govt_,35840,total,schools
Karnataka,total_schools_govt_,49679,total,schools
Kerala,total_schools_govt_,5010,total,schools
Ladakh,total_schools_govt_,838,total,schools
Lakshadweep,total_schools_govt_,38,total,schools
Madhya Pradesh,total_schools_govt_,92695,total,schools
Maharashtra,total_schools_govt_,65639,total,schools
Manipur,total_schools_govt_,2889,total,schools
Meghalaya,total_schools_govt_,7783,total,schools
Mizoram,total_schools_govt_,2563,total,schools
Nagaland,total_schools_govt_,1960,total,schools
Odisha,total_schools_govt_,49072,total,schools
Puducherry,total_schools_govt_,422,total,schools
Punjab,total_schools_govt_,19259,total,schools
Rajasthan,total_schools_govt_,68948,total,schools
Sikkim,total_schools_govt_,864,total,schools
Tamil Nadu,total_schools_govt_,37636,total,schools
Telangana,total_schools_govt_,30023,total,schools
Tripura,total_schools_govt_,4262,total,schools
Uttar Pradesh,total_schools_govt_,137024,total,schools
Uttarakhand,total_schools_govt_,16484,total,schools
West Bengal,total_schools_govt_,83302,total,schools
India,total_schools_pvt_aided,82480,total,schools
Andaman and Nicobar Islands,total_schools_pvt_aided,2,total,schools
Andhra Pradesh,total_schools_pvt_aided,1542,total,schools
Arunachal Pradesh,total_schools_pvt_aided,68,total,schools
Assam,total_schools_pvt_aided,3841,total,schools
Bihar,total_schools_pvt_aided,742,total,schools
Chandigarh,total_schools_pvt_aided,7,total,schools
Chhattisgarh,total_schools_pvt_aided,417,total,schools
Dadra and Nagar Haveli and Daman and Diu,total_schools_pvt_aided,8,total,schools
Delhi,total_schools_pvt_aided,247,total,schools
Goa,total_schools_pvt_aided,557,total,schools
Gujarat,total_schools_pvt_aided,5590,total,schools
Haryana,total_schools_pvt_aided,16,total,schools
Himachal Pradesh,total_schools_pvt_aided,0,total,schools
Jammu and Kashmir,total_schools_pvt_aided,1,total,schools
Jharkhand,total_schools_pvt_aided,1175,total,schools
Karnataka,total_schools_pvt_aided,7110,total,schools
Kerala,total_schools_pvt_aided,7183,total,schools
Ladakh,total_schools_pvt_aided,28,total,schools
Lakshadweep,total_schools_pvt_aided,0,total,schools
Madhya Pradesh,total_schools_pvt_aided,740,total,schools
Maharashtra,total_schools_pvt_aided,24037,total,schools
Manipur,total_schools_pvt_aided,583,total,schools
Meghalaya,total_schools_pvt_aided,4172,total,schools
Mizoram,total_schools_pvt_aided,230,total,schools
Nagaland,total_schools_pvt_aided,0,total,schools
Odisha,total_schools_pvt_aided,5807,total,schools
Puducherry,total_schools_pvt_aided,33,total,schools
Punjab,total_schools_pvt_aided,450,total,schools
Rajasthan,total_schools_pvt_aided,0,total,schools
Sikkim,total_schools_pvt_aided,19,total,schools
Tamil Nadu,total_schools_pvt_aided,8323,total,schools
Telangana,total_schools_pvt_aided,700,total,schools
Tripura,total_schools_pvt_aided,43,total,schools
Uttar Pradesh,total_schools_pvt_aided,8113,total,schools
Uttarakhand,total_schools_pvt_aided,608,total,schools
West Bengal,total_schools_pvt_aided,88,total,schools
India,total_schools_pvt_unaided,335844,total,schools
Andaman and Nicobar Islands,total_schools_pvt_unaided,72,total,schools
Andhra Pradesh,total_schools_pvt_unaided,15058,total,schools
Arunachal Pradesh,total_schools_pvt_unaided,503,total,schools
Assam,total_schools_pvt_unaided,5852,total,schools
Bihar,total_schools_pvt_unaided,8097,total,schools
Chandigarh,total_schools_pvt_unaided,76,total,schools
Chhattisgarh,total_schools_pvt_unaided,7063,total,schools
